number,meal_type,meal_slot,tags,title,ingredients,instructions,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total (g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added (mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added (mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Iron (mg),Zinc (mg),Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),Water (g)
200076,recipe,,Vegetable Side Dishes,Cucumber Tomato Salad,"['Cucumber', 'Tomato', 'Red onion', 'Fresh parsley', 'Lemon juice', 'Olive oil', 'Salt', 'Black pepper']","{'1': '""Wash and peel the cucumber', '2': ""'Dice the tomato.'"", '3': ""'Finely chop the red onion and fresh parsley.'"", '4': '""In a bowl', '5': ""'Drizzle lemon juice and olive oil over the salad.'"", '6': ""'Season with salt and black pepper.'"", '7': ""'Toss gently until well combined.'"", '8': ""'Refrigerate for at least 30 minutes before serving.'"", '9': ""'Serve chilled.'""}",252.215,4.339,21.828,0,0.837,16.453,2.818,10.601,1.755,1.97,7.88,8.372,0.0,1.478,0.0,0.0,19.7,0.239,0.129,1.714,0.035,21.178,12.805,49.25,34.475,4.477,0.025,0,0.443,0.099,3.27,0,4.294,17.88,45.802,11.82,0,0,0.058,9.259,61.22,237.685,0.0,0.0,0.0,0
200077,recipe,,Vegetable Side Dishes,Creamy Cucumber Dill Salad,"['Cucumber', 'Greek yogurt', 'Fresh dill', 'Lemon juice', 'Garlic powder', 'Salt', 'Black pepper']","{'1': '""Wash and peel the cucumber', '2': '""In a bowl', '3': ""'Toss gently until the cucumber slices are well coated with the creamy dressing.'"", '4': ""'Refrigerate for at least 30 minutes before serving to allow the flavors to meld.'"", '5': ""'Serve chilled.'""}",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
200078,recipe,,Vegetable Side Dishes,Spicy Asian Cucumber Salad,"['Cucumber', 'Rice vinegar', 'Soy sauce', 'Sesame oil', 'Honey', 'Red pepper flakes', 'Toasted sesame seeds', 'Green onions']","{'1': ""'Wash and thinly slice the cucumbers.'"", '2': '""In a bowl', '3': ""'Add sliced cucumbers to the bowl.'"", '4': ""'Toss until cucumbers are evenly coated with the dressing.'"", '5': ""'Refrigerate for at least 15 minutes to allow the flavors to meld.'"", '6': '""Before serving', '7': ""'Serve chilled.'""}",67.35000000000001,1.236,4.859,0,0.13,5.085,0.721,1.998,2.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.027,0.335,0.023,0.0,2.2,2.2,2.2,2.865,0.0,0,0.025,0.0,0.07,0,0.68,5.25,25.1,11.2,0,0,0.008,0.1149999999999999,67.85,824.1500000000001,0.0,0.0,0.0,0
200079,recipe,,Vegetable Side Dishes,Classic Iceberg Wedge Salad,"['Iceberg lettuce', 'Bacon', 'Tomato', 'Red onion', 'Blue cheese', 'Ranch dressing']","{'1': ""'Cut the iceberg lettuce into wedges.'"", '2': '""Cook bacon until crispy', '3': ""'Dice the tomato.'"", '4': ""'Finely chop the red onion.'"", '5': ""'Arrange the iceberg lettuce wedges on a serving plate.'"", '6': '""Sprinkle crumbled bacon', '7': ""'Drizzle ranch dressing over the salad.'"", '8': ""'Serve immediately.'""}",640.965,11.675999999999998,53.535,0,2.149,42.31,8.748000000000001,8.801,22.209,24.47,30.38,32.747,0.625,15.853,0.625,0.0,60.95,0.519,0.372,3.797,0.084,68.053,35.305,151.125,103.85,30.244,0.2809999999999999,0,0.443,0.223,2.457,0,104.582,91.48,237.052,25.57,0,0,0.124,23.822,153.57,1269.26,0.0,0.0,0.0,0
200080,recipe,,Vegetable Side Dishes,Iceberg Lettuce Cups with Chicken Salad,"['Iceberg lettuce', 'Cooked chicken breast', 'Celery', 'Mayonnaise', 'Dijon mustard', 'Lemon juice', 'Salt', 'Black pepper']","{'1': ""'Carefully separate the iceberg lettuce leaves to create cups.'"", '2': '""In a bowl', '3': ""'Spoon the chicken salad into the lettuce cups.'"", '4': ""'Serve immediately as a light and refreshing appetizer or side dish.'""}",80.15,0.542,4.625,0,1.0,6.772,1.06,1.523,3.947,4.8,1.5,16.15,0.0,177.75,0.9,0.0,184.975,0.015,0.036,0.203,0.047,0.0,23.7,23.7,23.7,6.5120000000000005,0.0,0,1.938,0.0,0.8260000000000001,0,34.422,26.8,19.5,7.475,0,0,0.0279999999999999,1.03,171.8,298.1,0.0,0.0,0.0,0
200081,recipe,,Vegetable Side Dishes,Grilled Chicken and Avocado Salad with Iceberg Lettuce,"['Iceberg lettuce', 'Grilled chicken breast', 'Avocado', 'Cherry tomatoes', 'Red onion', 'Cilantro', 'Lime juice', 'Olive oil', 'Salt', 'Black pepper']","{'1': ""'Tear the iceberg lettuce into bite-sized pieces.'"", '2': ""'Slice the grilled chicken breast.'"", '3': ""'Dice the avocado.'"", '4': ""'Halve the cherry tomatoes.'"", '5': ""'Finely chop the red onion and cilantro.'"", '6': '""In a large bowl', '7': '""In a small bowl', '8': ""'Drizzle the dressing over the salad.'"", '9': ""'Toss gently until well combined.'"", '10': ""'Serve immediately.'""}",427.415,7.204000000000001,33.275,0,8.741,31.36,4.962,20.535,3.599,1.97,7.88,116.807,34.92,1246.388,88.74000000000001,0.0,551.5550000000001,0.329,0.319,3.836,0.353,21.178,120.61,157.055,142.28,24.448000000000004,0.025,0,19.343,0.099,6.109,0,118.429,53.64,116.662,52.965,0,0,0.343,10.050999999999998,743.345,264.22,0.0,0.0,0.0,0
200083,recipe,,Vegetable Side Dishes,Curried Lentil Soup,"['Brown lentils', 'Carrot', 'Celery stalk', 'Onion', 'Garlic cloves', 'Curry powder', 'Vegetable broth', 'Coconut milk', 'Salt', 'Black pepper']","{'1': ""'Rinse the brown lentils under cold water.'"", '2': '""Dice the carrot', '3': '""In a large pot', '4': '""Add diced onion and garlic to the pot and saute for 2-3 minutes', '5': ""'Stir in curry powder and cook for another minute.'"", '6': '""Add diced carrot', '7': ""'Pour vegetable broth into the pot and bring to a boil.'"", '8': '""Reduce heat to low', '9': '""Stir in coconut milk', '10': ""'Simmer for an additional 5 minutes to heat through.'"", '11': ""'Remove from heat and serve hot.'""}",937.27,28.157,63.732,0,28.162,68.92299999999999,16.519000000000002,39.191,7.475,40.0,338.75,828.75,90.0,5700.24,110.0,0.0,10670.84,0.651,1.436,8.0,1.64,0.0,500.12,500.12,500.12,168.386,3.388,0,81.48,6.25,11.205,0,854.102,975.8,739.12,311.5,0,0,0.868,10.582,3537.69,418.63,0.0,0.0,0.0,0
200084,recipe,,Vegetable Side Dishes,Lentil and Spinach Salad with Balsamic Vinaigrette,"['Lentils (any variety)', 'Baby spinach', 'Cherry tomatoes', 'Red onion', 'Feta cheese', 'Balsamic vinegar', 'Olive oil', 'Dijon mustard', 'Honey', 'Salt', 'Black pepper']","{'1': ""'Rinse the lentils under cold water.'"", '2': '""In a pot', '3': ""'Add the rinsed lentils to the boiling water.'"", '4': '""Reduce heat to low', '5': ""'Drain any excess water from the lentils and transfer them to a large bowl.'"", '6': ""'Allow the lentils to cool to room temperature.'"", '7': '""In the meantime', '8': ""'Finely chop the red onion and crumble the feta cheese.'"", '9': '""In a small bowl', '10': '""Add baby spinach', '11': ""'Pour the dressing over the salad.'"", '12': ""'Toss gently until well combined.'"", '13': ""'Serve at room temperature or chilled.'""}",500.54,12.998,25.948,0,0.847,38.265,7.271999999999999,24.365,3.885,45.095,7.88,8.372,0.0,1.478,0.0,0.0,19.7,0.253,0.203,1.995,0.155,21.178,14.155,50.6,35.825,69.694,0.681,0,0.468,0.661,6.558,0,10.319,28.33,81.002,17.545,0,0,0.136,9.361,83.34499999999998,826.3100000000001,0.0,0.0,0.0,0
200085,recipe,,Vegetable Side Dishes,Pea and Mint Salad,"['Frozen peas', 'Fresh mint leaves', 'Red onion', 'Lemon juice', 'Olive oil', 'Salt', 'Black pepper']","{'1': ""'Cook the frozen peas according to the package instructions.'"", '2': ""'Drain the cooked peas and rinse them under cold water.'"", '3': ""'Finely chop the fresh mint leaves and red onion.'"", '4': '""In a large bowl', '5': ""'Drizzle lemon juice and olive oil over the salad.'"", '6': ""'Season with salt and black pepper.'"", '7': ""'Toss gently until well combined.'"", '8': ""'Refrigerate for at least 30 minutes before serving.'"", '9': ""'Serve chilled.'""}",252.215,4.339,21.828,0,0.837,16.453,2.818,10.601,1.755,1.97,7.88,8.372,0.0,1.478,0.0,0.0,19.7,0.239,0.129,1.714,0.035,21.178,12.805,49.25,34.475,4.477,0.025,0,0.443,0.099,3.27,0,4.294,17.88,45.802,11.82,0,0,0.058,9.259,61.22,237.685,0.0,0.0,0.0,0
200086,recipe,,Vegetable Side Dishes,Creamy Pea and Bacon Pasta,"['Pasta (such as penne or fusilli)', 'Frozen peas', 'Bacon', 'Heavy cream', 'Parmesan cheese', 'Salt', 'Black pepper']","{'1': ""'Cook the pasta according to the package instructions.'"", '2': '""In a pot of boiling water', '3': '""In a skillet', '4': '""In the same skillet', '5': '""Stir in the cooked pasta', '6': '""Add Parmesan cheese', '7': ""'Toss gently until the pasta is coated in the creamy sauce.'"", '8': '""Serve hot'}",255.0,6.512,28.019,0,1.312,13.019,3.906,2.712,5.752,6.25,14.375,15.0,0.625,5.625,0.0,0.0,28.125,0.271,0.189,2.049,0.03,46.875,20.0,99.375,66.875,5.312,0.15,0,0.0,0.062,0.931,0,20.25,56.25,75.0,10.625,0,0,0.054,12.375,52.5,468.75,0.0,0.0,0.0,0
200087,recipe,,Vegetable Side Dishes,Pea and Potato Curry,"['Potatoes', 'Frozen peas', 'Onion', 'Garlic cloves', 'Ginger', 'Curry powder', 'Coconut milk', 'Vegetable broth', 'Salt', 'Black pepper']","{'1': ""'Peel and dice the potatoes.'"", '2': ""'Dice the onion and mince the garlic cloves.'"", '3': '""In a large skillet or pot', '4': '""Add diced onion and cook until softened', '5': '""Stir in minced garlic and ginger', '6': '""Add diced potatoes and curry powder to the skillet', '7': ""'Pour in coconut milk and vegetable broth.'"", '8': '""Bring the mixture to a simmer', '9': '""Stir in frozen peas and cook for an additional 3-4 minutes', '10': ""'Season with salt and black pepper to taste.'"", '11': '""Serve hot'}",158.51999999999998,4.095000000000001,12.632,0,3.662,10.911,4.348,4.9,0.947,5.0,111.25,172.5,11.25,712.74,13.75,0.0,1334.59,0.091,0.185,1.035,0.266,0.0,62.62,62.62,62.62,22.261,1.113,0,10.605,1.875,1.4049999999999998,0,106.852,337.05,100.37,40.25,0,0,0.124,1.832,483.94,86.13,0.0,0.0,0.0,0
200088,recipe,,Vegetable Side Dishes,Arugula and Parmesan Salad,"['Arugula', 'Parmesan cheese', 'Lemon juice', 'Olive oil', 'Salt', 'Black pepper']","{'1': ""'Wash the arugula leaves and spin them dry.'"", '2': '""In a large bowl', '3': ""'Drizzle lemon juice and olive oil over the salad.'"", '4': ""'Season with salt and black pepper.'"", '5': ""'Toss gently until well combined.'"", '6': ""'Serve immediately.'""}",525.0,6.512,28.019,0,1.312,43.019,8.562,23.238,8.593,6.25,14.375,15.0,0.625,5.625,0.0,0.0,28.125,0.271,0.189,2.049,0.03,46.875,20.0,99.375,66.875,5.402,0.15,0,0.0,0.062,7.195,0,28.05,56.55,75.0,10.625,0,0,0.054,12.375,52.8,469.35,0.0,0.0,0.0,0
200089,recipe,,Vegetable Side Dishes,Arugula and Strawberry Salad with Balsamic Glaze,"['Arugula', 'Strawberries', 'Balsamic glaze', 'Olive oil', 'Feta cheese', 'Salt', 'Black pepper']","{'1': ""'Wash the arugula leaves and spin them dry.'"", '2': ""'Hull and slice the strawberries.'"", '3': '""In a large bowl', '4': ""'Drizzle balsamic glaze and olive oil over the salad.'"", '5': ""'Add crumbled feta cheese.'"", '6': ""'Season with salt and black pepper.'"", '7': ""'Toss gently until well combined.'"", '8': ""'Serve immediately.'""}",455.625,10.244,19.075,0,4.5,37.362,6.782,24.027,3.5500000000000003,43.125,0.0,2.5,0.0,17.5,0.0,0.0,55.0,0.076,0.1119999999999999,1.24,0.207,0.0,21.25,21.25,21.25,79.402,0.656,0,140.0,0.562,7.145,0,15.175,40.3,85.0,35.625,0,0,0.374,1.062,242.175,613.725,0.0,0.0,0.0,0
200090,recipe,,Vegetable Side Dishes,Arugula Pesto,"['Arugula', 'Basil leaves', 'Garlic cloves', 'Pine nuts', 'Parmesan cheese', 'Lemon juice', 'Olive oil', 'Salt', 'Black pepper']","{'1': ""'Wash the arugula and basil leaves.'"", '2': '""In a food processor', '3': '""Process until smooth', '4': ""'Taste and adjust seasoning if necessary.'"", '5': ""'Transfer the arugula pesto to a jar or airtight container.'"", '6': '""Use as a spread'}",1246.645,15.462999999999996,37.876,0,3.786,118.273,16.673,57.203,32.979,6.25,14.375,15.625,0.625,16.490000000000002,0.0,0.0,34.59,0.51,0.3369999999999999,4.831,0.159,46.875,41.370000000000005,120.745,88.245,41.761,0.15,0,0.98,0.062,19.817,0,70.28999999999999,77.675,443.495,169.0,0,0,0.9,13.395,450.19,486.13,0.0,0.0,0.0,0
200091,recipe,,Vegetable Side Dishes,Garlic Sauteed Spinach,"['Spinach', 'Olive oil', 'Garlic cloves', 'Salt', 'Black pepper']","{'1': ""'Wash the spinach leaves and pat them dry with paper towels.'"", '2': ""'Mince the garlic cloves.'"", '3': '""In a large skillet', '4': ""'Add minced garlic to the skillet and sautÃ© for 1-2 minutes until fragrant.'"", '5': ""'Add the spinach leaves to the skillet.'"", '6': '""Saute', '7': ""'Season with salt and black pepper.'"", '8': ""'Remove from heat and serve immediately.'""}",339.756,6.859,7.148,0,3.791,31.429,4.803999999999999,20.55,3.2300000000000004,0.0,0.0,641.844,0.0,7711.44,0.0,0.0,13654.2,0.186,0.446,1.29,0.512,0.0,263.208,263.208,263.208,45.248000000000005,0.0,0,60.582,0.0,10.873,0,1103.119,165.324,97.572,212.424,0,0,0.204,0.582,1344.216,267.228,0.0,0.0,0.0,0
200092,recipe,,Vegetable Side Dishes,Creamed Spinach,"['Spinach', 'Butter', 'All-purpose flour', 'Heavy cream', 'Grated Parmesan cheese', 'Nutmeg', 'Salt', 'Black pepper']","{'1': ""'Wash the spinach leaves and pat them dry with paper towels.'"", '2': '""In a large skillet', '3': ""'Sprinkle all-purpose flour over the melted butter and whisk continuously for 1-2 minutes to make a roux.'"", '4': '""Slowly pour in heavy cream', '5': '""Cook for 2-3 minutes', '6': ""'Stir in grated Parmesan cheese and nutmeg.'"", '7': '""Add spinach leaves to the skillet and cook', '8': ""'Season with salt and black pepper.'"", '9': ""'Remove from heat and serve hot.'""}",314.754,9.951,8.217,0,5.443,26.769,13.894,5.104,1.3170000000000002,70.5,223.2,1190.166,0.6,11617.2,2.4,0.0,20480.04,0.264,0.66,1.875,0.663,0.0,396.132,396.132,396.132,71.299,0.0,0,90.153,0.12,6.906,0,1644.926,237.636,139.278,316.98600000000005,0,0,0.281,0.0,1986.864,534.822,0.0,0.0,0.0,0
200093,recipe,,Vegetable Side Dishes,Spinach and Feta Stuffed Mushrooms,"['Spinach', 'Feta cheese', 'Mushrooms', 'Garlic cloves', 'Olive oil', 'Salt', 'Black pepper']","{'1': ""'Preheat the oven to 375Â°F.'"", '2': ""'Wash the spinach leaves and pat them dry with paper towels.'"", '3': ""'Clean the mushrooms and remove the stems.'"", '4': ""'Finely chop the mushroom stems and garlic cloves.'"", '5': '""In a skillet', '6': ""Add chopped mushroom stems and garlic to the skillet and saute for 2-3 minutes until softened.'"", '7': '""Add spinach leaves to the skillet and cook', '8': ""'Remove from heat and stir in crumbled feta cheese.'"", '9': ""'Season with salt and black pepper.'"", '10': ""'Spoon the spinach and feta mixture into the mushroom caps.'"", '11': '""Place stuffed mushrooms on a baking sheet and bake in the preheated oven for 15-20 minutes', '12': ""'Remove from oven and serve hot.'""}",422.572,13.887,5.781000000000001,0,2.884,37.89,6.894,24.045,3.846,43.125,0.0,481.383,0.0,5783.639999999999,0.0,0.0,10240.86,0.156,0.408,1.2520000000000002,0.521,0.0,198.686,198.686,198.686,99.367,0.656,0,45.556,0.562,9.878,0,831.4399999999999,136.76800000000003,110.459,165.318,0,0,0.233,0.6439999999999999,1033.597,792.416,0.0,0.0,0.0,0
200094,recipe,,Vegetable Side Dishes,Eggplant Parmesan,"['Eggplant', 'All-purpose flour', 'Eggs', 'Breadcrumbs', 'Grated Parmesan cheese', 'Salt', 'Black pepper', 'Marinara sauce', 'Shredded mozzarella cheese', 'Fresh basil leaves']","{'1': ""Preheat the oven to 375°F.'"", '2': ""'Peel the eggplant and slice it into 1/4-inch thick rounds.'"", '3': '""Prepare three shallow dishes: one with all-purpose flour', '4': '""Dredge each eggplant slice in flour', '5': ""'Place the coated eggplant slices on a baking sheet lined with parchment paper.'"", '6': '""Bake in the preheated oven for 20-25 minutes', '7': '""In a baking dish', '8': ""'Arrange the baked eggplant slices on top of the marinara sauce.'"", '9': ""'Top each slice with shredded mozzarella cheese.'"", '10': '""Bake for an additional 15-20 minutes', '11': ""'Garnish with fresh basil leaves before serving.'""}",527.5,2.5,33.25,0,1.25,41.75,8.332,9.012,22.61,17.5,7.5,27.5,37.5,167.5,87.5,0.0,137.5,0.04,0.072,0.232,0.11,0.0,12.5,12.5,12.5,20.0,0.05,0,5.75,0.0,4.2,0,126.0,65.0,42.5,15.0,0,0,0.058,2.25,170.0,1667.5,0.0,0.0,0.0,0
200095,recipe,,Vegetable Side Dishes,Grilled Eggplant with Balsamic Glaze,"['Eggplant', 'Olive oil', 'Balsamic vinegar', 'Honey', 'Garlic powder', 'Salt', 'Black pepper', 'Fresh parsley']","{'1': ""'Preheat the grill to medium-high heat.'"", '2': ""'Peel the eggplant and slice it into 1/2-inch thick rounds.'"", '3': '""In a small bowl', '4': ""'Brush both sides of the eggplant slices with the marinade.'"", '5': '""Grill the eggplant slices for 4-5 minutes per side', '6': ""'Remove from the grill and transfer to a serving platter.'"", '7': ""'Garnish with chopped fresh parsley before serving.'""}",315.6,0.045,12.36,0,0.03,30.0,4.656,20.526,2.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.018,0.004,0.0,0.3,0.3,0.3,0.42,0.0,0,0.075,0.0,6.264,0,7.8,1.2,0.6,0.3,0,0,0.005,0.12,8.1,1.2,0.0,0.0,0.0,0
200096,recipe,,Vegetable Side Dishes,Roasted Eggplant with Garlic and Lemon,"['Eggplant', 'Olive oil', 'Garlic cloves', 'Lemon', 'Salt', 'Black pepper', 'Fresh parsley']","{'1': ""Preheat the oven to 400°F.'"", '2': ""'Peel the eggplant and cut it into 1-inch cubes.'"", '3': ""'Mince the garlic cloves and juice the lemon.'"", '4': '""In a large bowl', '5': ""'Spread the seasoned eggplant cubes in a single layer on a baking sheet lined with parchment paper.'"", '6': '""Roast in the preheated oven for 25-30 minutes', '7': ""'Remove from the oven and transfer to a serving dish.'"", '8': ""'Garnish with chopped fresh parsley before serving.'""}",278.52,0.395,1.682,0,0.162,30.023,4.661,20.527,2.8560000000000003,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.84,0.011,0.006,0.04,0.07,0.0,0.12,0.12,0.12,1.476,0.0,0,0.48,0.0,6.269,0,7.902,11.1,9.12,1.5,0,0,0.018,0.582,24.24,15.48,0.0,0.0,0.0,0
200097,recipe,,Vegetable Side Dishes,Sauteed Garlic Kale,"['Kale', 'Olive oil', 'Garlic cloves', 'Salt', 'Black pepper']","{'1': ""'Wash the kale leaves and remove the tough stems.'"", '2': ""'Tear the kale leaves into bite-sized pieces.'"", '3': ""'Mince the garlic cloves.'"", '4': '""In a large skillet', '5': ""'Add minced garlic to the skillet and sautÃ© for 1-2 minutes until fragrant.'"", '6': ""'Add the torn kale leaves to the skillet.'"", '7': '""Saute', '8': ""'Season with salt and black pepper.'"", '9': ""'Remove from heat and serve hot.'""}",278.52,0.395,1.682,0,0.162,30.023,4.661,20.527,2.8560000000000003,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.84,0.011,0.006,0.04,0.07,0.0,0.12,0.12,0.12,1.476,0.0,0,0.48,0.0,6.269,0,7.902,11.1,9.12,1.5,0,0,0.018,0.582,24.24,15.48,0.0,0.0,0.0,0
200098,recipe,,Vegetable Side Dishes,Kale and Quinoa Salad,"['Kale', 'Quinoa', 'Cherry tomatoes', 'Red onion', 'Feta cheese', 'Lemon juice', 'Olive oil', 'Salt', 'Black pepper']","{'1': ""'Wash the kale leaves and remove the tough stems.'"", '2': ""'Tear the kale leaves into bite-sized pieces.'"", '3': ""'Rinse the quinoa under cold water.'"", '4': ""'Cook the quinoa according to the package instructions.'"", '5': ""'Dice the cherry tomatoes and red onion.'"", '6': '""In a large bowl', '7': ""'Drizzle lemon juice and olive oil over the salad.'"", '8': ""'Season with salt and black pepper.'"", '9': ""'Toss gently until well combined.'"", '10': ""'Refrigerate for at least 30 minutes before serving.'"", '11': ""'Serve chilled.'""}",446.09,9.525,21.828,0,0.837,35.541,6.422,22.964,3.601,27.845,7.88,8.372,0.0,1.478,0.0,0.0,19.7,0.248,0.172,1.879,0.106,21.178,13.555,50.0,35.225,43.56,0.419,0,0.443,0.437,6.496,0,9.469,24.03,66.80199999999999,15.195,0,0,0.104,9.297,72.99499999999999,590.86,0.0,0.0,0.0,0
200099,recipe,,Vegetable Side Dishes,Baked Kale Chips,"['Kale', 'Olive oil', 'Salt']","{'1': ""Preheat the oven to 350°F.'"", '2': ""'Wash the kale leaves and remove the tough stems.'"", '3': ""'Tear the kale leaves into bite-sized pieces.'"", '4': '""In a large bowl', '5': ""'Spread the kale leaves in a single layer on a baking sheet lined with parchment paper.'"", '6': ""'Sprinkle salt over the kale leaves.'"", '7': '""Bake in the preheated oven for 10-15 minutes', '8': ""'Remove from the oven and let cool slightly before serving.'""}",135.0,0.0,0.0,0,0.0,15.0,2.328,10.263,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0,0.0,0.0,3.132,0,3.9,0.15,0.0,0.0,0,0,0.0,0.0,0.15,0.3,0.0,0.0,0.0,0
200100,recipe,,Vegetable Side Dishes,Grilled Radicchio with Balsamic Glaze,"['Radicchio', 'Olive oil', 'Balsamic vinegar', 'Honey', 'Salt', 'Black pepper']","{'1': ""'Preheat the grill to medium-high heat.'"", '2': '""Cut the radicchio head into quarters', '3': '""In a small bowl', '4': ""'Brush both sides of the radicchio quarters with the marinade.'"", '5': '""Place the radicchio quarters on the grill', '6': '""Grill for 3-4 minutes per side', '7': ""'Remove from the grill and transfer to a serving platter.'"", '8': ""'Drizzle any remaining marinade over the grilled radicchio.'"", '9': ""'Serve hot.'""}",315.6,0.045,12.36,0,0.03,30.0,4.656,20.526,2.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.018,0.004,0.0,0.3,0.3,0.3,0.42,0.0,0,0.075,0.0,6.264,0,7.8,1.2,0.6,0.3,0,0,0.005,0.12,8.1,1.2,0.0,0.0,0.0,0
200103,recipe,,Vegetable Side Dishes,Braised Red Cabbage,"['Red cabbage', 'Apple', 'Onion', 'Red wine vinegar', 'Brown sugar', 'Butter', 'Salt', 'Black pepper']","{'1': ""'Shred the red cabbage thinly.'"", '2': ""'Core and dice the apple.'"", '3': ""'Finely chop the onion.'"", '4': '""In a large pot or Dutch oven', '5': '""Add chopped onion and saute until softened', '6': ""'Add shredded red cabbage and diced apple to the pot.'"", '7': ""'Pour in red wine vinegar and sprinkle brown sugar over the cabbage mixture.'"", '8': ""'Season with salt and black pepper.'"", '9': '""Cover the pot and simmer over low heat for 30-40 minutes', '10': ""'Taste and adjust seasoning if necessary.'"", '11': ""'Serve hot.'""}",222.9,0.255,0.018,0,0.0,24.66,13.68,5.07,0.756,70.5,223.2,227.4,0.6,50.4,2.4,0.0,0.0,0.002,0.0,0.0,0.0,0.0,1.5,1.5,1.5,5.64,0.0,0,0.0,0.12,0.0,0,2.1,6.3,6.6,0.6,0,0,0.002,0.0,6.9,157.2,0.0,0.0,0.0,0
200104,recipe,,Vegetable Side Dishes,Red Cabbage Slaw with Apple Cider Vinaigrette,"['Red cabbage', 'Carrot', 'Apple', 'Red onion', 'Apple cider vinegar', 'Olive oil', 'Dijon mustard', 'Honey', 'Salt', 'Black pepper']","{'1': ""'Shred the red cabbage thinly.'"", '2': ""'Grate the carrot and thinly slice the apple and red onion.'"", '3': '""In a large bowl', '4': '""In a small bowl', '5': ""'Pour the dressing over the cabbage mixture.'"", '6': ""'Toss gently until well combined.'"", '7': ""'Refrigerate for at least 30 minutes before serving.'"", '8': ""'Serve chilled.'""}",416.215,4.384,29.338,0,0.907,31.492,5.153,20.866,3.188,1.97,7.88,8.372,0.0,1.478,0.0,0.0,24.5,0.245,0.136,1.742,0.041,21.178,12.905,49.35,34.575,5.172000000000001,0.025,0,0.7380000000000001,0.099,6.405,0,8.193999999999999,20.73,48.102,13.42,0,0,0.064,9.329,94.27,239.385,0.0,0.0,0.0,0
200105,recipe,,Vegetable Side Dishes,Sweet and Sour Red Cabbage,"['Red cabbage', 'Apple', 'Red wine vinegar', 'Brown sugar', 'Butter', 'Salt', 'Black pepper']","{'1': ""'Shred the red cabbage thinly.'"", '2': ""'Core and dice the apple.'"", '3': '""In a large skillet or Dutch oven', '4': ""'Add shredded red cabbage and diced apple to the skillet.'"", '5': ""'Pour in red wine vinegar and sprinkle brown sugar over the cabbage mixture.'"", '6': ""'Season with salt and black pepper.'"", '7': '""Cover the skillet and cook over low heat for 20-25 minutes', '8': ""'Taste and adjust seasoning if necessary.'"", '9': ""'Serve hot.'""}",222.9,0.255,0.018,0,0.0,24.66,13.68,5.07,0.756,70.5,223.2,227.4,0.6,50.4,2.4,0.0,0.0,0.002,0.0,0.0,0.0,0.0,1.5,1.5,1.5,5.64,0.0,0,0.0,0.12,0.0,0,2.1,6.3,6.6,0.6,0,0,0.002,0.0,6.9,157.2,0.0,0.0,0.0,0
200106,recipe,,Vegetable Side Dishes,Black Bean and Corn Salad,"['Black beans', 'Corn kernels', 'Red bell pepper', 'Red onion', 'Cilantro', 'Lime juice', 'Olive oil', 'Salt', 'Black pepper']","{'1': ""'Drain and rinse the black beans.'"", '2': ""'Dice the red bell pepper and finely chop the red onion.'"", '3': '""In a large bowl', '4': ""'Drizzle lime juice and olive oil over the salad.'"", '5': ""'Season with salt and black pepper.'"", '6': ""'Toss gently until well combined.'"", '7': ""'Refrigerate for at least 30 minutes before serving.'"", '8': ""'Serve chilled.'""}",720.602,25.107000000000003,117.621,0,21.628,20.581,3.812,11.721,3.488,31.738,7.88,223.549,22.5,2499.6,134.755,352.958,598.597,0.416,0.3,3.68,0.347,21.178,93.375,129.82000000000002,115.045,109.168,0.025,0,18.068,0.099,5.011,0,199.775,229.203,454.222,159.845,0,0,0.952,30.353,1407.573,1934.863,0.0,0.0,0.0,0
