Original Name from Recipes,"Corresponding FNDDS Name ""Main Food Description""",Same or Not,ingredient_id,Database
"""ground sichuan peppercorn""",,,22,custom_table
"""ground turmeric""",,,2043,FNDDS_ingredients
"""ground white pepper""",,,170933,MyFood
"""gruyere cheese - shredded""",,,1023,FNDDS_ingredients
"""gruyere cheese""",,,1023,FNDDS_ingredients
"""gruyère cheese""",,,1023,FNDDS_ingredients
"""guacamole""",,,786833,MyFood
"""guajillo chiles - dried""",,,23,custom_table
"""guanciale""",,,24,custom_table
"""guava""",,,173044,MyFood
"""gyoza wrappers""",,,172802,MyFood
"""haddock fillets""",,,174198,MyFood
"""half-and-half""",,,171255,MyFood
"""halibut fillet""",,,174201,MyFood
"""halloumi cheese""",,,14010000,FNDDS_nutrients
"""ham hock""",,,22708010,FNDDS_nutrients
"""ham""","""Ham""",Same,22311000,FNDDS_nutrients
"""cooked ham""",,,174611,MyFood
"""hamburger buns""",,,172796,MyFood
"""hard-boiled eggs""",,,31102000,FNDDS_nutrients
"""heavy cream""",,,1053,FNDDS_ingredients
"""heavy whipping cream""",,,1053,FNDDS_ingredients
"""herbes de provence""",,,25,custom_table
"""hoisin sauce""","""Hoisin sauce""",Same,6175,FNDDS_ingredients
"""hollandaise sauce""","""Hollandaise sauce""",Same,81302010,FNDDS_nutrients
"""hominy""",,,75217520,FNDDS_nutrients
"""honey nut cheerios""",,,57241000,FNDDS_nutrients
"""honey""","""Honey""",Same,91302010,FNDDS_nutrients
"""honeydew melon""",,,169911,MyFood
"""horseradish""","""Horseradish""",Same,75503090,FNDDS_nutrients
"""hot sauce""",,,174527,MyFood
"""hotdog buns""",,,172796,MyFood
"""hummus""",,,784242,MyFood
"""ice cubes""",,,Not necessary,
"""ice water""",,,Not necessary,
"""iceberg lettuce""",,,11252,FNDDS_ingredients
"""ikura (salmon roe)""",,,175132,MyFood
"""imitation crab meat""","""Imitation crab meat""",Same,27250520,FNDDS_nutrients
"""instant coffee""",,,174130,MyFood
"""irigoma (white sesame seeds)""",,,170151,MyFood
"""italian dressing""",,,4021,FNDDS_ingredients
"""italian sausage (mild or hot)""",,,7089,FNDDS_ingredients
"""italian sausage""","""Italian sausage""",Same,782359,MyFood
"""italian seasoned breadcrumbs""",,,172806,MyFood
"""italian seasoning""",,,26,custom_table
"""jalapeno pepper - medium""",,,11979,FNDDS_ingredients
"""jalapeno pepper""",,,168576,MyFood
"""jalapeno""",,,168576,MyFood
"""jalapenos""",,,168576,MyFood
"""japanese eggplant (or regular eggplant) - medium""",,,11209,FNDDS_ingredients
"""jumbo pasta shells""",,,20120,FNDDS_ingredients
"""kahlua (or other coffee liqueur)""",,,14414,FNDDS_ingredients
"""kalamata olives""","""kalamata olives""",Same,9193,FNDDS_ingredients
"""kale""",,,11233,FNDDS_ingredients
"""kasuri methi (dried fenugreek leaves)""",,,171324,MyFood
"""ketchup""","""Ketchup""",Same,74401010,FNDDS_nutrients
"""kewpie mayonnaise""",,,27,custom_table
"""key limes - large""",,,168155,MyFood
"""kidney beans""",,,16028,FNDDS_ingredients
"""kimchi juice""",,,28,custom_table
"""kimchi""","""Kimchi""",Same,75502520,FNDDS_nutrients
"""kiwi - medium""",,,168153,MyFood
"""kiwi""",,,168153,MyFood
"""kombu (dried kelp)""",,,11445,FNDDS_ingredients
"""kombu tsukudani (kelp simmered in soy sauce)""",,,29,custom_table
"""korean anchovy broth""",,,30,custom_table
"""korean beef (bulgogi)""",,,31,custom_table
"""korean black bean noodles (jjajangmyeon noodles)""",,,32,custom_table
"""korean cucumber""",,,11205,FNDDS_ingredients
"""korean fish cake broth (dashi)""",,,6963,FNDDS_ingredients
"""korean glass noodles (japchae)""",,,41425010,FNDDS_nutrients
"""korean pancake (buchimgae)""",,,Not necessary,
"""korean pear - medium""",,,168177,MyFood
"""korean radish (or daikon) - medium""",,,11429,FNDDS_ingredients
"""korean radish (or daikon)""",,,11429,FNDDS_ingredients
"""korean radish""",,,11429,FNDDS_ingredients
"""korean red pepper flakes (gochugaru)""",,,33,custom_table
"""korean rice cakes (tteokbokki)""",,,786285,MyFood
"""korean sesame seeds""",,,170151,MyFood
"""korean shrimp paste - saeujeot""",,,34,custom_table
"""korean spinach""",,,11464,FNDDS_ingredients
"""korean sweet potato noodles (dangmyeon)""",,,35,custom_table
"""korean zucchini - hobak - medium""",,,11477,FNDDS_ingredients
"""korean-style short ribs""",,,36,custom_table
"""kosher salt""",,,37,custom_table
"""ladyfingers""",,,172821,MyFood
"""lamb shoulder""",,,174324,MyFood
"""lamb""",,,172479,MyFood
"""large shrimp""",,,15152,FNDDS_ingredients
"""lasagna noodles""",,,20120,FNDDS_ingredients
"""leafy green vegetables""",,,11253,FNDDS_ingredients
"""lean ground beef""",,,23562,FNDDS_ingredients
"""lean ground pork""",,,10024,FNDDS_ingredients
"""leek""",,,75218400,FNDDS_ingredients
"""leeks - large""",,,75218400,FNDDS_ingredients
"""leeks""","""leeks""",Same,75218400,FNDDS_nutrients
"""lemon juice""",,,9152,FNDDS_ingredients
"""lemon wedge""",,,9150,FNDDS_ingredients
"""lemon wedges""",,,9150,FNDDS_ingredients
"""lemon zest""",,,9156,FNDDS_ingredients
"""lemon""",,,9150,FNDDS_ingredients
"""lentils (any variety)""",,,16070,FNDDS_ingredients
"""lentils""",,,16070,FNDDS_ingredients
"""lettuce leaves""",,,11253,FNDDS_ingredients
"""lettuce""",,,11253,FNDDS_ingredients
"""light brown sugar""",,,168833,MyFood
"""light mayonnaise""",,,168094,MyFood
"""lime - large""",,,168155,MyFood
"""lime juice""",,,168156,MyFood
"""lime wedges""",,,168155,MyFood
"""lime zest""",,,9156,FNDDS_ingredients
"""lime""",,,168155,MyFood
"""limes""",,,168155,MyFood
"""linguine""","""linguine""",Same,20120,FNDDS_ingredients
"""littleneck clams""",,,782758,MyFood
"""lo mein noodles - dried""",,,169733,MyFood
"""lo mein noodles""",,,36625,FNDDS_ingredients
"""long-grain white rice""",,,20444,FNDDS_ingredients
"""low-sodium chicken broth""",,,6183,FNDDS_ingredients
"""lump crab meat""",,,782767,MyFood
"""lychee""","""Lychee""",Same,63126510,FNDDS_nutrients
"""macaroni""",,,169736,MyFood
"""mango""",,,169910,MyFood
"""maple syrup""",,,170276,MyFood
"""margerine""",,,171415,MyFood
"""marinara sauce""",,,6931,FNDDS_ingredients
"""marsala wine (dry)""",,,93402000,FNDDS_ingredients
"""masa harina (corn flour)""",,,784713,MyFood
"""mascarpone cheese""",,,14010000,FNDDS_nutrients
"""mashed potatoes""",,,11367,FNDDS_ingredients
"""mayonnaise""",,,81302040,FNDDS_nutrients
"""meat""",,,Not necessary,
"""melted butter""",,,1001,FNDDS_ingredients
"""mexican melting cheese (oaxaca or quesadilla)""",,,14120010,FNDDS_nutrients
"""milk - one percent""",,,11112210,FNDDS_nutrients
"""milk""",,,11100000,FNDDS_nutrients
"""minced ginger""",,,11216,FNDDS_ingredients
"""mint leaves""",,,173475,MyFood
"""mirin""",,,167723,MyFood
"""miso paste""",,,41420110,FNDDS_nutrients
"""mitsuba (japanese parsley)""",,,2029,FNDDS_ingredients
"""mixed greens""",,,787801,MyFood
"""mixed mushrooms""",,,788289,MyFood
"""mixed salad greens""",,,787801,MyFood
"""mixed seafood""",,,15149,FNDDS_nutrients
"""molasses""","""Molasses""",Same,91303000,FNDDS_nutrients
"""monterey jack cheese - shredded""",,,100296,MyFood
"""monterey jack cheese""",,,100296,MyFood
"""mozzarella cheese""",,,1029,FNDDS_ingredients
"""mulato chiles - dried whole""",,,38,custom_table
"""mung bean sprouts""",,,169957,MyFood
"""mushrooms""",,,788289,MyFood
"""mussels""","""Mussels""",Same,26313110,FNDDS_nutrients
"""mustard""","""Mustard""",Same,75506010,FNDDS_nutrients
"""myoga ginger""",,,11216,FNDDS_ingredients
"""napa cabbage - medium""",,,11109,FNDDS_ingredients
"""napa cabbage""",,,11109,FNDDS_ingredients
"""narutomaki (fish cake slices)""",,,783040,MyFood
"""nectarines""","""nectarines""",Same,63131010,FNDDS_nutrients
"""neutral oil""",,,789032,MyFood
"""nicoise olives or large green olives""",,,9533,FNDDS_ingredients
"""noodles""",,,56112000,FNDDS_nutrients
"""nopales pads (fresh or canned, pre-sliced)""",,,11963,FNDDS_ingredients
"""nori seaweed""",,,75232000,FNDDS_nutrients
"""nuka (rice bran)""",,,169713,MyFood
"""nutmeg""","""nutmeg""",Same,2025,FNDDS_ingredients
"""nutritional yeast""",,,39,custom_table
"""nuts""",,,170585,MyFood
"""oaxaca cheese""",,,14010000,FNDDS_nutrients
"""okonomiyaki sauce""",,,40,custom_table
"""okra""",,,11281,FNDDS_ingredients
"""old bay seasoning""",,,41,custom_table
"""olive oil""","""Olive oil""",Same,82104000,FNDDS_nutrients
"""olives (black or green)""",,,9193,FNDDS_ingredients
"""olives""",,,9193,FNDDS_ingredients
"""onion - large""",,,11283,FNDDS_ingredients
"""onion - medium""",,,11283,FNDDS_ingredients
"""onion - small""",,,11283,FNDDS_ingredients
"""onion powder""",,,171327,MyFood
"""onion""",,,11283,FNDDS_ingredients
"""optional additional ingredients",,,Not necessary,
"""optional additions",,,Not necessary,
"""optional additions (choose one or combine)",,,Not necessary,
"""optional fillings""","""optional fillings""",Same,Not necessary,
"""optional toppings for serving""",,,Not necessary,
"""optional toppings""","""optional toppings""",Same,Not necessary,
"""orange bell pepper - medium""",,,11334,FNDDS_ingredients
"""orange juice""",,,169098,MyFood
"""orange zest""",,,169103,MyFood
"""orange""",,,169097,MyFood
"""oranges""","""oranges""",Same,61119010,FNDDS_nutrients
"""oregano""","""oregano""",Same,2027,FNDDS_ingredients
"""overripe bananas - large""",,,173944,MyFood
"""oxtail""",,,781840,MyFood
"""oxtails""",,,781840,MyFood
"""oyster sauce - vegetarian""",,,42,custom_table
"""oyster sauce""","""Oyster sauce""",Same,28520100,FNDDS_nutrients
"""packed light brown sugar""",,,168833,MyFood
"""pancetta""","""pancetta""",Same,167914,MyFood
"""paneer""",,,14110050,FNDDS_nutrients
"""panko breadcrumbs""",,,172806,MyFood
"""papaya""",,,169926,MyFood
"""paprika""","""paprika""",Same,2028,FNDDS_ingredients
"""parboiled rice""",,,169707,MyFood
"""parchment paper""",,,Not necessary,
"""parmesan cheese rind""",,,1032,FNDDS_ingredients
"""parmesan cheese""",,,1032,FNDDS_ingredients
"""parmigiano-reggiano cheese""",,,14108010,FNDDS_nutrients
"""parsley""",,,2029,FNDDS_ingredients
"""parsnips""",,,11299,FNDDS_ingredients
"""pasilla chiles - dried""",,,168579,MyFood
"""pasilla chiles - whole""",,,Not necessary,
"""passion fruit""",,,169108,MyFood
"""pasta (long, such as spaghetti, linguine, or fettuccine)""",,,20120,FNDDS_ingredients
"""pasta (such as penne or fusilli)""",,,20120,FNDDS_ingredients
"""pasta (such as penne or spaghetti)""",,,20120,FNDDS_ingredients
"""pasta""",,,20120,FNDDS_ingredients
"""peaches""",,,169928,MyFood
"""peanut butter""","""Peanut butter""",Same,42202000,FNDDS_nutrients
"""peanut oil""",,,171410,
"""peanut sauce""","""Peanut sauce""",Same,42204050,FNDDS_nutrients
"""peanuts""",,,16087,FNDDS_ingredients
"""pear""",,,9252,FNDDS_ingredients
"""pearl onions""",,,11283,FNDDS_ingredients
"""pears""",,,9252,FNDDS_ingredients
"""peas""",,,11313,FNDDS_ingredients
"""pecans""",,,12142,FNDDS_ingredients
"""pecorino romano cheese""",,,14010000,FNDDS_nutrients
"""penne pasta""",,,20120,FNDDS_ingredients
"""pepitas (pumpkin seeds)""",,,784458,MyFood
"""pepper""",,,170931,MyFood
"""peppercorns""",,,2030,FNDDS_ingredients
"""pepperoni""",,,7057,FNDDS_ingredients
"""perilla leaves (kkaennip)""",,,43,custom_table
"""phyllo dough""",,,172791,MyFood
"""pickle relish""",,,168561,MyFood
"""pickled jalapenos""",,,75511040,FNDDS_nutrients
"""pickled plum (umeboshi)""",,,44,custom_table
"""pickled vegetables""",,,75515100,FNDDS_nutrients
"""pico de gallo""",,,787711,MyFood
"""pie crust""",,,18335,FNDDS_ingredients
"""pie crust""",,,18335,FNDDS_ingredients
"""piloncillo cone (unrefined cane sugar cone) - whole""",,,45,custom_table
"""pimentón (spanish paprika)""",,,2028,FNDDS_ingredients
"""pimentos""",,,168559,MyFood
"""pine nuts""","""Pine nuts""",Same,42113000,FNDDS_nutrients
"""pineapple chunks""",,,9266,FNDDS_ingredients
"""pineapple""",,,9266,FNDDS_ingredients
"""pinto beans (dry)""",,,16043,FNDDS_ingredients
"""pita bread""",,,172816,MyFood
"""pizza dough""",,,46,custom_table
"""pizza sauce""",,,172880,MyFood
"""plain greek yogurt""",,,1293,FNDDS_ingredients
"""plain yogurt""",,,100295,FNDDS_ingredients
"""plant-based milk""",,,172446,MyFood
"""plums""",,,9279,FNDDS_ingredients
"""poblano pepper - medium""",,,47,custom_table
"""poblano peppers - medium""",,,47,custom_table
"""poblano peppers""",,,47,custom_table
"""polenta""","""polenta""",Same,56201517,FNDDS_nutrients
"""pork belly - skin-on""",,,167812,MyFood
"""pork belly""",,,167812,MyFood
"""pork bones (femur or back bones)""",,,22706010,FNDDS_nutrients
"""pork chops (bone-in or boneless)""",,,10064,FNDDS_ingredients
"""pork loin chops (boneless)""",,,10002,FNDDS_ingredients
"""pork loin or tenderloin""",,,10002,FNDDS_ingredients
"""pork loin roast""",,,10002,FNDDS_ingredients
"""pork loin""",,,10002,FNDDS_ingredients
"""pork ribs (baby back or spare)""",,,10193,FNDDS_ingredients
"""pork shoulder (boneless)""",,,10002,FNDDS_ingredients
"""pork shoulder""",,,10002,FNDDS_ingredients
"""pork tenderloin""",,,10061,FNDDS_ingredients
"""portabello mushrooms""",,,11243,FNDDS_ingredients
"""portobello mushrooms - large""",,,169243,MyFood
"""potato - medium""",,,71000100,FNDDS_nutrients
"""potato starch""",,,11413,FNDDS_ingredients
"""potatoes - large""",,,11367,FNDDS_ingredients
"""potatoes - medium""",,,11367,FNDDS_ingredients
"""potatoes""",,,11367,FNDDS_ingredients
"""powdered gelatin""",,,169599,MyFood
"""powdered sugar""",,,19336,FNDDS_ingredients
"""prime rib roast""",,,169511,MyFood
"""prosciutto slices""","""prosciutto slices""",Same,22311450,FNDDS_nutrients
"""prosciutto""",,,22311450,FNDDS_nutrients
"""protein bar""",,,53729000,FNDDS_nutrients
"""puff pastry""",,,172738,MyFood
"""pumpkin - small""",,,11422,FNDDS_ingredients
"""pumpkin seeds""",,,784458,MyFood
"""pumpkin""",,,11422,FNDDS_ingredients
"""queso fresco cheese - shredded""",,,1413300,FNDDS_nutrients
"""queso fresco cheese""",,,1413300,FNDDS_nutrients
"""queso fresco""","""Queso Fresco""",Same,14133000,FNDDS_nutrients
"""quinoa""",,,20137,FNDDS_ingredients
"""rack of lamb""",,,172629,MyFood
"""radicchio""",,,11952,FNDDS_ingredients
"""radishes""",,,11429,FNDDS_ingredients
"""raisins""","""Raisins""",Same,9298,FNDDS_ingredients
"""ramen noodles""",,,16082,FNDDS_ingredients
"""ranch dressing""","""Ranch dressing""",Same,83113500,FNDDS_nutrients
"""ravioli""",,,786084,MyFood
"""raw cashews - whole""",,,12085,FNDDS_ingredients
"""raw shrimp""",,,15152,FNDDS_ingredients
"""reblochon cheese""",,,14010000,FNDDS_nutrients
"""red bell pepper - large""",,,11334,FNDDS_ingredients
"""red bell pepper - medium""",,,11334,FNDDS_ingredients
"""red bell pepper""",,,11334,FNDDS_ingredients
"""red cabbage""",,,11112,FNDDS_ingredients
"""red chili flakes""",,,48,custom_table
"""red chili pepper - small""",,,11819,FNDDS_ingredients
"""red chili powder""",,,2009,FNDDS_ingredients
"""red chili sauce""",,,171595,MyFood
"""red lentils""",,,16070,FNDDS_ingredients
"""red onion - large""",,,11283,FNDDS_ingredients
"""red onion - medium""",,,11283,FNDDS_ingredients
"""red onion""",,,11283,FNDDS_ingredients
"""red pepper flakes""",,,49,custom_table
"""red raspberries""",,,9302,FNDDS_ingredients
"""red wine - dry""",,,173190,MyFood
"""red wine""",,,173190,MyFood
"""redcurrants""",,,173964,MyFood
"""refried beans""","""Refried beans""",Same,41205010,FNDDS_nutrients
"""rib eye steaks""",,,173054,MyFood
"""ribeye beef (such as ribeye or flank steak)""",,,173054,MyFood
"""ribeye beef""",,,173054,MyFood
"""ribeye steak""",,,173054,MyFood
"""ribeye steaks""",,,173054,MyFood
"""rice noodles""",,,16082,FNDDS_ingredients
"""rice or crusty bread""",,,Not necessary,
"""rice paper wrappers""",,,54319500,FNDDS_nutrients
"""rice spring roll wrappers (round)""",,,54319500,FNDDS_nutrients
"""rice vinegar - seasoned""",,,50,custom_table
"""rice vinegar - unseasoned""",,,51,custom_table
"""rice vinegar - white""",,,52,custom_table
"""rice vinegar""",,,53,custom_table
"""rice""",,,20055,FNDDS_ingredients
"""ricotta cheese""",,,1036,FNDDS_ingredients
"""rigatoni pasta""",,,20120,FNDDS_ingredients
"""ripe tomatoes - large""",,,11529,FNDDS_ingredients
"""ripe tomatoes""",,,11529,FNDDS_ingredients
"""roasted corn""",,,11167,FNDDS_ingredients
"""roasted peanuts""",,,173086,MyFood
"""rolled oats""",,,169705,MyFood
"""roma tomato - large""",,,11529,FNDDS_ingredients
"""roma tomato - medium""",,,11529,FNDDS_ingredients
"""roma tomatoes - large""",,,11529,FNDDS_ingredients
"""roma tomatoes - medium""",,,11529,FNDDS_ingredients
"""roma tomatoes""",,,11529,FNDDS_ingredients
"""romaine lettuce""",,,11257,FNDDS_ingredients
"""rosemary sprig""","""rosemary sprig""",Same,173473,MyFood
"""rosemary""","""rosemary""",Same,171333,MyFood
"""rouille""","""rouille""",Same,Not necessary,
"""round dumpling wrappers""",,,172802,MyFood
"""russet potatoes - large""",,,100283,FNDDS_ingredients
"""russet potatoes - medium""",,,100283,FNDDS_ingredients
"""russet potatoes""",,,100283,FNDDS_ingredients
"""saffron threads""","""saffron threads""",Same,170934,MyFood
"""saffron""","""saffron""",Same,170934,MyFood
"""sage leaves (fresh)""",,,2038,FNDDS_ingredients
"""sage leaves""",,,2038,FNDDS_ingredients
"""sage""",,,2038,FNDDS_ingredients
"""sake""","""sake""",Same,43479,FNDDS_ingredients
"""salad greens""",,,787801,MyFood
"""salmon fillet""",,,15083,FNDDS_ingredients
"""salmon flakes (cooked and flaked)""",,,15083,FNDDS_ingredients
"""salsa (roja or verde)""",,,174524,MyFood
"""salsa""",,,174524,MyFood
"""salt""",,,2047,FNDDS_ingredients
"""sashimi-grade salmon""",,,15083,FNDDS_ingredients
"""sashimi-grade tuna""",,,173706,MyFood
"""sausage""",,,7954,FNDDS_ingredients
"""scallop shells - large""",,,Not necessary,
"""scallops - dry packed""",,,167742,MyFood
"""sea bass fillets""",,,782641,MyFood
"""sea salt""",,,54,custom_table
"""sea scallops""",,,782798,MyFood
"""seedless cucumbers (english or persian) - large""",,,11205,FNDDS_ingredients
"""self-rising flour""",,,168895,MyFood
"""semi-sweet chocolate chips""",,,Not necessary,
"""semolina flour""",,,168933,MyFood
"""serrano pepper""",,,169935,MyFood
"""sesame oil""","""Sesame oil""",Same,82107000,FNDDS_nutrients
"""sesame seeds""","""Sesame seeds""",Same,43103000,FNDDS_nutrients
"""shallot - medium""",,,170499,MyFood
"""shallots - large""",,,170499,MyFood
"""shallots""","""shallots""",Same,170499,MyFood
"""shaoxing wine (or dry sherry)""",,,173190,MyFood
"""sharp cheddar cheese - shredded""",,,1009,FNDDS_ingredients
"""sharp cheddar cheese""",,,1009,FNDDS_ingredients
"""shichimi togarashi (japanese seven-spice powder)""",,,55,custom_table
"""shiitake mushrooms - dried""",,,11238,FNDDS_ingredients
"""shiitake mushrooms - large""",,,11238,FNDDS_ingredients
"""shiitake mushrooms""",,,11238,FNDDS_ingredients
"""shishito peppers""",,,56,custom_table
"""shiso leaves""",,,Not necessary,
"""shortening""",,,4615,FNDDS_ingredients
"""short-grain rice""",,,56205190,FNDDS_nutrients
"""short-grain white rice - cooked""",,,20055,FNDDS_ingredients
"""short-grain white rice""",,,168881,MyFood
"""shredded cabbage""",,,11109,FNDDS_ingredients
"""shredded cheddar cheese""",,,1009,FNDDS_ingredients
"""shredded cheese (cheddar or mozzarella)""",,,1009,FNDDS_ingredients
"""shredded cheese (cheddar, monterey jack, or mexican blend)""",,,14010000,FNDDS_nutrients
"""shredded cheese""",,,14010000,FNDDS_nutrients
"""shredded chicken""",,,99992405,FNDDS_nutrients
"""shredded chihuahua cheese""",,,14010000,FNDDS_nutrients
"""shredded coconut""",,,167753,MyFood
"""shredded cooked beef""",,,21602010,FNDDS_nutrients
"""shredded cooked chicken breast""",,,99992405,FNDDS_nutrients
"""shredded cooked chicken""",,,99992405,FNDDS_nutrients
"""shredded cooked vegetables""",,,75311020,FNDDS_nutrients
"""shredded green or white cabbage""",,,11109,FNDDS_ingredients
"""shredded mozzarella cheese""",,,1029,FNDDS_ingredients
"""shredded napa cabbage""",,,11109,FNDDS_ingredients
"""shreddies""","""shreddies""",Same,57214000,FNDDS_nutrients
"""shrimp - medium""",,,15152,FNDDS_ingredients
"""shrimp tempura""",,,Not necessary,
"""shrimp""",,,15152,FNDDS_ingredients
"""shrimp, peeled and deveined""",,,15152,FNDDS_ingredients
"""sichuan pepper powder""",,,57,custom_table
"""sichuan peppercorns""",,,58,custom_table
"""silken tofu""",,,173784,MyFood
"""skewers""","""skewers""",Same,Not necessary,
"""skirt steak""",,,173379,MyFood
"""sliced almonds""",,,12061,FNDDS_ingredients
"""sliced kamaboko (fish cake)""",,,783040,MyFood
"""sliced pork belly (chashu pork)""",,,22708020,FNDDS_nutrients
"""sliced red onion""",,,11283,FNDDS_ingredients
"""sliced turkey breast""",,,7081,FNDDS_ingredients
"""slivered almonds""",,,12061,FNDDS_ingredients
"""small pasta""",,,20120,FNDDS_ingredients
"""smoked paprika""",,,2028,FNDDS_ingredients
"""smoked salmon""",,,15083,FNDDS_ingredients
"""smoked sausage""",,,174607,MyFood
"""smoked turkey leg or neck""",,,782270,MyFood
"""snap peas""",,,170010,MyFood
"""snow peas""",,,170010,MyFood
"""soft tofu""",,,172449,MyFood
"""sour cherries""",,,171716,MyFood
"""sour cream""",,,1179,FNDDS_ingredients
"""soy milk""","""Soy milk""",Same,11320000,FNDDS_nutrients
"""soy sauce - light""",,,16123,FNDDS_ingredients
"""soy sauce - low sodium""",,,16424,FNDDS_ingredients
"""soy sauce""","""Soy sauce""",Same,16123,FNDDS_ingredients
"""soybean sprouts""",,,75101000,FNDDS_nutrients
"""soybeans""",,,170530,MyFood
"""spaghetti""",,,20120,FNDDS_ingredients
"""spam""","""Spam""",Same,25230530,FNDDS_nutrients
"""sparkling water (or club soda)""",,,Not necessary,
"""special k cereal""",,,785729,MyFood
"""spinach leaves""",,,11457,FNDDS_ingredients
"""spinach""",,,11464,FNDDS_ingredients
"""sprite""","""sprite""",Same,14145,FNDDS_ingredients
"""alfalfa sprouts""",,,168384,MyFood
"""crab""",,,782767,MyFood
"""sriracha sauce""",,,171186,MyFood
"""sriracha""","""sriracha""",Same,171186,MyFood
"""standing rib roast""",,,172478,MyFood
"""steak (such as filet mignon or ribeye)""",,,21101000,FNDDS_nutrients
"""steamed rice cooked""",,,56205190,FNDDS_nutrients
"""steamed vegetables""",,,Not necessary,
"""stewing beef""",,,21410000,FNDDS_nutrients
"""strawberries""",,,167762,MyFood
"""sugar - white""",,,19335,FNDDS_ingredients
"""sugar""",,,19335,FNDDS_ingredients
"""sun-dried tomatoes""","""Sun-dried tomatoes""",Same,74206000,FNDDS_nutrients
"""sushi rice vinegar""",,,59,custom_table
"""sushi rice""",,,56205190,FNDDS_nutrients
"""sweet and sour sauce""","""Sweet and sour sauce""",Same,91361010,FNDDS_nutrients
"""sweet cherries""",,,167770,MyFood
"""sweet chili sauce""",,,60,custom_table
"""sweet potato - large""",,,100286,FNDDS_ingredients
"""sweet potato - medium""",,,100286,FNDDS_ingredients
"""sweet potato starch noodles (dangmyeon)""",,,61,custom_table
"""sweet potato""",,,100286,FNDDS_ingredients
"""sweet potatoes - large""",,,100286,FNDDS_ingredients
"""sweet potatoes - medium""",,,100286,FNDDS_ingredients
"""sweet potatoes""",,,100286,FNDDS_ingredients
"""sweetened condensed milk""",,,171275,MyFood
"""swiss cheese""",,,1040,FNDDS_ingredients
"""tabasco sauce""",,,6169,FNDDS_ingredients
"""taco seasoning""",,,172243,MyFood
"""taco shells""",,,172800,MyFood
"""taco toppings""",,,Not necessary,
"""tagliatelle""","""tagliatelle""",Same,20120,FNDDS_ingredients
"""tahini sauce""",,,170189,MyFood
"""tahini""","""Tahini""",Same,43103300,FNDDS_nutrients
"""takoyaki sauce""",,,62,custom_table
"""tamarind paste""",,,63409020,FNDDS_nutrients
"""tangerines""",,,168184,MyFood
"""tenkasu (tempura flakes)""",,,172806,MyFood
"""thin strips of red chili pepper""",,,Not necessary,
"""thinly sliced beef""",,,21101140,FNDDS_nutrients
"""thyme leaves""",,,2042,FNDDS_ingredients
"""thyme sprigs""","""thyme sprigs""",Same,2042,FNDDS_ingredients
"""thyme""","""thyme""",Same,2042,FNDDS_ingredients
"""tilapia fillets""",,,174177,MyFood
"""toasted almonds""",,,12061,FNDDS_ingredients
"""toasted coconut flakes""",,,168586,MyFood
"""toasted pecans""",,,170183,MyFood
"""toasted pine nuts""",,,170591,MyFood
"""toasted pumpkin seeds""",,,169415,MyFood
"""toasted sesame oil""",,,82107000,FNDDS_nutrients
"""toasted sesame seeds""",,,169416,MyFood
"""tofu""","""tofu""",Same,16127,FNDDS_ingredients
"""tomato - large""",,,11529,FNDDS_ingredients
"""tomato - medium""",,,11529,FNDDS_ingredients
"""tomato paste""",,,11546,FNDDS_ingredients
"""tomato sauce (crushed or diced)""",,,11549,FNDDS_ingredients
"""tomato sauce""",,,11549,FNDDS_ingredients
"""tomato""",,,11529,FNDDS_ingredients
"""tomatoes - large""",,,11529,FNDDS_ingredients
"""tomatoes""",,,170050,MyFood
"""tonkatsu sauce""",,,63,custom_table
"""toppings (avocado""",,,Not necessary,
"""toppings (optional)""","""toppings (optional)""",Same,Not necessary,
"""trout fillets""",,,175155,MyFood
"""tuna - sushi grade""",,,173106,MyFood
"""tuna (canned in water)""",,,171988,MyFood
"""tuna steak""",,,782687,MyFood
"""tuna steaks""",,,782687,MyFood
"""tuna""",,,782687,MyFood
"""turkey""",,,171491,MyFood
"""turmeric powder""",,,2043,FNDDS_ingredients
"""turmeric""","""turmeric""",Same,2043,FNDDS_ingredients
"""turnips - large""",,,170058,MyFood
"""tzatziki sauce""",,,781161,MyFood
"""unsalted butter""",,,1145,FNDDS_ingredients
"""unsweetened cocoa powder""",,,19165,FNDDS_ingredients
"""vanilla extract""",,,2052,FNDDS_ingredients
"""vanilla greek yogurt""",,,1293,FNDDS_ingredients
"""vanilla ice cream""",,,19089,FNDDS_ingredients
"""vanilla protein powder""",,,173180,MyFood
"""vegan butter""",,,173580,MyFood
"""vegan cheese - shredded""",,,14502000,FNDDS_nutrients
"""vegan cheese""",,,14502000,FNDDS_nutrients
"""vegan cream cheese""",,,64,custom_table
"""vegan mozzarella""",,,14502000,FNDDS_nutrients
"""vegan parmesan""",,,65,custom_table
"""vegetable broth - low-sodium""",,,66,custom_table
"""vegetable broth""",,,171583,MyFood
"""vegetable oil""",,,82101000,FNDDS_nutrients
"""vegetable shortening""",,,4615,FNDDS_ingredients
"""vegetables (your choice)""",,,169085,MyFood
"""vidalia onion - large""",,,11283,FNDDS_ingredients
"""vinegar""","""Vinegar""",Same,2053,FNDDS_ingredients
"""vodka""","""Vodka""",Same,93505000,FNDDS_nutrients
"""wakame seaweed""",,,170496,MyFood
"""walnuts""",,,170187,MyFood
"""warm milk""",,,170872,MyFood
"""warm water""",,,Not necessary,
